timeStamp,elapsed,label,responseCode,reponseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.61E+12,5,"Admin, General Information-0",301,Moved Permanently,Users 1-47,text,TRUE,,663,175,4,4,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,273,"Admin, General Information-1",200,OK,Users 1-47,text,TRUE,,38784,175,4,4,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,272,0,0
1.61E+12,1160,Login page,200,OK,Users 1-50,text,TRUE,,39366,268,5,5,https://qa.cilsy.id/symfony/web/index.php,8,0,4
1.61E+12,8,Login page-0,301,Moved Permanently,Users 1-50,text,TRUE,,581,134,5,5,http://qa.cilsy.id/symfony/web/index.php,8,0,4
1.61E+12,1151,Login page-1,200,OK,Users 1-50,text,TRUE,,38785,134,5,5,https://qa.cilsy.id/symfony/web/index.php,1148,0,675
1.61E+12,261,"Attendance, Employee Record",200,OK,Users 1-49,text,TRUE,,39429,332,5,5,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,14,0,0
1.61E+12,14,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-49,text,TRUE,,645,166,5,5,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,14,0,0
1.61E+12,246,"Attendance, Employee Record-1",200,OK,Users 1-49,text,TRUE,,38784,166,5,5,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,241,0,0
1.61E+12,256,"Attendance, Employee Record",200,OK,Users 1-47,text,TRUE,,39429,332,5,5,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,10,0,0
1.61E+12,10,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-47,text,TRUE,,645,166,5,5,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,10,0,0
1.61E+12,245,"Attendance, Employee Record-1",200,OK,Users 1-47,text,TRUE,,38784,166,5,5,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,239,0,0
1.61E+12,278,"Admin, General Information",200,OK,Users 1-50,text,TRUE,,39447,350,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,7,0,0
